ligne;course;dow;first_time;med_time;nb_courses;first_date;last_date;created_at
40;3948459;1;"06:00:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948459;2;"06:00:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948459;3;"06:00:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948459;4;"06:00:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948459;5;"06:00:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948460;1;"06:15:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948460;2;"06:15:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948460;3;"06:15:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948460;4;"06:15:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948460;5;"06:15:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948461;1;"06:30:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948461;2;"06:30:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948461;3;"06:30:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948461;4;"06:30:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948461;5;"06:30:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948462;1;"06:45:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948462;2;"06:45:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948462;3;"06:45:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948462;4;"06:45:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948462;5;"06:45:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948463;1;"07:00:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948463;2;"07:00:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948463;3;"07:00:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948463;4;"07:00:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948463;5;"07:00:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948464;1;"07:10:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948464;2;"07:10:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948464;3;"07:10:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948464;4;"07:10:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948464;5;"07:10:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948465;1;"07:20:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948465;2;"07:20:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948465;3;"07:20:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948465;4;"07:20:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948465;5;"07:20:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
