COD_PAR_REL;LIB_PAR_REL;DATEHEURE_COMPTAGE;DATEHEURE_DIFFUSION;NB_TOT_PLACE_DISPO;CAP_VEH_NOR;NB_TOT_PLACE_PMR_DISPO;CAP_VEH_PMR;NB_PLACE_N_DISPO_NIV_MOINS_5;NB_PLACE_TOTAL_NIV_MOINS_5;NB_PLACE_PMR_DISPO_NIV_MOINS_5;NB_PLACE_PMR_TOTAL_NIV_MOINS_5;NB_PLACE_N_DISPO_NIV_MOINS_4;NB_PLACE_TOTAL_NIV_MOINS_4;NB_PLACE_PMR_DISPO_NIV_MOINS_4;NB_PLACE_PMR_TOTAL_NIV_MOINS_4;NB_PLACE_N_DISPO_NIV_MOINS_3;NB_PLACE_TOTAL_NIV_MOINS_3;NB_PLACE_PMR_DISPO_NIV_MOINS_3;NB_PLACE_PMR_TOTAL_NIV_MOINS_3;NB_PLACE_N_DISPO_NIV_MOINS_2;NB_PLACE_TOTAL_NIV_MOINS_2;NB_PLACE_PMR_DISPO_NIV_MOINS_2;NB_PLACE_PMR_TOTAL_NIV_MOINS_2;NB_PLACE_N_DISPO_NIV_MOINS_1;NB_PLACE_TOTAL_NIV_MOINS_1;NB_PLACE_PMR_DISPO_NIV_MOINS_1;NB_PLACE_PMR_TOTAL_NIV_MOINS_1;NB_PLACE_N_DISPO_NIV_0;NB_PLACE_TOTAL_NIV_0;NB_PLACE_PMR_DISPO_NIV_0;NB_PLACE_PMR_TOTAL_NIV_0;NB_PLACE_N_DISPO_NIV_01;NB_PLACE_TOTAL_NIV_01;NB_PLACE_PMR_DISPO_NIV_01;NB_PLACE_PMR_TOTAL_NIV_01;NB_PLACE_N_DISPO_NIV_02;NB_PLACE_TOTAL_NIV_02;NB_PLACE_PMR_DISPO_NIV_02;NB_PLACE_PMR_TOTAL_NIV_02;NB_PLACE_N_DISPO_NIV_03;NB_PLACE_TOTAL_NIV_03;NB_PLACE_PMR_DISPO_NIV_03;NB_PLACE_PMR_TOTAL_NIV_03;NB_PLACE_N_DISPO_NIV_04;NB_PLACE_TOTAL_NIV_04;NB_PLACE_PMR_DISPO_NIV_04;NB_PLACE_PMR_TOTAL_NIV_04;NB_PLACE_N_DISPO_NIV_05;NB_PLACE_TOTAL_NIV_05;NB_PLACE_PMR_DISPO_NIV_05;NB_PLACE_PMR_TOTAL_NIV_05;NB_PLACE_N_DISPO_NIV_06;NB_PLACE_TOTAL_NIV_06;NB_PLACE_PMR_DISPO_NIV_06;NB_PLACE_PMR_TOTAL_NIV_06;NB_PLACE_N_DISPO_NIV_07;NB_PLACE_TOTAL_NIV_07;NB_PLACE_PMR_DISPO_NIV_07;NB_PLACE_PMR_TOTAL_NIV_07;NB_PLACE_N_DISPO_NIV_08;NB_PLACE_TOTAL_NIV_08;NB_PLACE_PMR_DISPO_NIV_08;NB_PLACE_PMR_TOTAL_NIV_08;NB_PLACE_N_DISPO_NIV_09;NB_PLACE_TOTAL_NIV_09;NB_PLACE_PMR_DISPO_NIV_09;NB_PLACE_PMR_TOTAL_NIV_09;NB_PLACE_N_DISPO_NIV_10;NB_PLACE_TOTAL_NIV_10;NB_PLACE_PMR_DISPO_NIV_10;NB_PLACE_PMR_TOTAL_NIV_10;NB_PLACE_N_DISPO_NIV_11;NB_PLACE_TOTAL_NIV_11;NB_PLACE_PMR_DISPO_NIV_11;NB_PLACE_PMR_TOTAL_NIV_11;NB_PLACE_N_DISPO_NIV_12;NB_PLACE_TOTAL_NIV_12;NB_PLACE_PMR_DISPO_NIV_12;NB_PLACE_PMR_TOTAL_NIV_12;NB_PLACE_N_DISPO_NIV_13;NB_PLACE_TOTAL_NIV_13;NB_PLACE_PMR_DISPO_NIV_13;NB_PLACE_PMR_TOTAL_NIV_13;NB_PLACE_N_DISPO_NIV_14;NB_PLACE_TOTAL_NIV_14;NB_PLACE_PMR_DISPO_NIV_14;NB_PLACE_PMR_TOTAL_NIV_14;NB_PLACE_N_DISPO_NIV_15;NB_PLACE_TOTAL_NIV_15;NB_PLACE_PMR_DISPO_NIV_15;NB_PLACE_PMR_TOTAL_NIV_15
DECC;Décines Centre;2018-09-17 19:29:00;2018-09-17 19:30:02;82;105;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;105;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VAI1;Vaise 1;2018-09-17 19:29:00;2018-09-17 19:30:02;256;497;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;156;249;0;5;100;248;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MEYZ;Meyzieu ZI;2018-09-17 19:29:00;2018-09-17 19:30:02;390;440;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;440;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BON;Laurent Bonnevay;2018-09-17 19:29:00;2018-09-17 19:30:02;530;600;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;242;0;3;0;208;0;7;0;150;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GOR;Gorge de Loup;2018-09-17 19:28:00;2018-09-17 19:30:02;518;655;19;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;76;117;5;5;162;180;5;5;84;121;3;3;98;117;4;4;98;120;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ALP;Porte des Alpes;2018-09-17 19:29:00;2018-09-17 19:30:02;110;379;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;379;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OULN;Oullins La Saulaie Nord;2018-09-17 19:29:00;2018-09-17 19:30:02;97;105;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;105;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VEN; Gare deVénissieux;2018-09-17 19:29:00;2018-09-17 19:30:02;628;722;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80;118;0;4;139;151;0;4;136;151;0;4;136;151;0;4;137;151;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MEYG;Meyzieu Gare;2018-09-17 19:29:00;2018-09-17 19:30:02;77;104;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;104;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PAR;Parilly;2018-09-17 19:29:00;2018-09-17 19:30:02;234;304;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;304;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OULS;Oullins La Saulaie Sud;2018-09-17 19:29:00;2018-09-17 19:30:02;181;299;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;299;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
HFVE;Hopital Feyzin Vénissieux;2018-09-17 19:29:00;2018-09-17 19:30:02;78;78;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;78;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SOI;Vaulx en Velin La Soie;2018-09-17 19:29:00;2018-09-17 19:30:02;361;460;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;6;0;23;0;4;0;40;0;0;0;36;0;0;0;40;0;0;0;36;0;0;0;38;0;0;0;37;0;0;0;38;0;0;0;37;0;0;0;38;0;0;0;37;0;0;0;38;0;0;0;0;0;0;0;0;0;0
MEYP;Meyzieu les Panettes;2018-09-17 19:29:00;2018-09-17 19:30:02;499;576;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;576;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BELA;St Priest Bel Air;2018-09-17 19:29:00;2018-09-17 19:30:02;92;119;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;119;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MERP;Mermoz pinel;2018-09-17 19:29:00;2018-09-17 19:30:02;273;309;0;7;0;0;0;0;0;0;0;0;0;0;0;0;100;109;0;3;90;108;0;3;83;92;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DECG;Décines Grand Large;2018-09-17 19:29:00;2018-09-17 19:30:02;55;55;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
